customer_id,customer_name,customer_email,customer_city,customer_country,signup_date
1,Customer_1,customer1@example.com,Sydney,UK,2022-11-27
2,Customer_2,customer2@example.com,London,Australia,2022-10-10
3,Customer_3,customer3@example.com,Berlin,Australia,2022-04-07
4,Customer_4,customer4@example.com,Sydney,UK,2022-08-24
5,Customer_5,customer5@example.com,Toronto,India,2022-08-06
6,Customer_6,customer6@example.com,Mumbai,UK,2022-05-27
7,Customer_7,customer7@example.com,Berlin,Canada,2022-05-14
8,Customer_8,customer8@example.com,Berlin,Germany,2022-05-06
9,Customer_9,customer9@example.com,Sydney,India,2022-08-14
10,Customer_10,customer10@example.com,Los Angeles,India,2022-06-11
11,Customer_11,customer11@example.com,Toronto,France,2022-10-31
12,Customer_12,customer12@example.com,Sydney,USA,2022-09-02
13,Customer_13,customer13@example.com,Toronto,Germany,2022-01-26
14,Customer_14,customer14@example.com,Toronto,Australia,2022-08-22
15,Customer_15,customer15@example.com,Mumbai,India,2022-04-09
16,Customer_16,customer16@example.com,Berlin,UK,2022-08-05
17,Customer_17,customer17@example.com,London,Germany,2022-09-06
18,Customer_18,customer18@example.com,Mumbai,France,2022-03-26
19,Customer_19,customer19@example.com,Mumbai,Australia,2022-06-16
20,Customer_20,customer20@example.com,Toronto,USA,2022-03-11
21,Customer_21,customer21@example.com,Paris,USA,2022-01-20
22,Customer_22,customer22@example.com,Berlin,France,2022-05-19
23,Customer_23,customer23@example.com,Los Angeles,France,2022-05-13
24,Customer_24,customer24@example.com,Mumbai,UK,2022-12-30
25,Customer_25,customer25@example.com,London,India,2022-06-12
26,Customer_26,customer26@example.com,Paris,USA,2022-05-02
27,Customer_27,customer27@example.com,Paris,Australia,2022-07-31
28,Customer_28,customer28@example.com,Los Angeles,Germany,2022-02-02
29,Customer_29,customer29@example.com,Mumbai,Australia,2022-12-18
30,Customer_30,customer30@example.com,London,Canada,2022-08-20
31,Customer_31,customer31@example.com,Berlin,Canada,2022-10-03
32,Customer_32,customer32@example.com,New York,France,2022-03-04
33,Customer_33,customer33@example.com,London,UK,2022-05-30
34,Customer_34,customer34@example.com,Los Angeles,Canada,2022-06-04
35,Customer_35,customer35@example.com,Paris,USA,2022-10-27
36,Customer_36,customer36@example.com,Berlin,Australia,2022-01-01
37,Customer_37,customer37@example.com,London,Australia,2022-04-20
38,Customer_38,customer38@example.com,New York,France,2022-12-25
39,Customer_39,customer39@example.com,New York,India,2022-06-23
40,Customer_40,customer40@example.com,Toronto,India,2022-05-20
41,Customer_41,customer41@example.com,Toronto,Germany,2022-02-13
42,Customer_42,customer42@example.com,Sydney,France,2022-12-22
43,Customer_43,customer43@example.com,Los Angeles,Germany,2022-01-08
44,Customer_44,customer44@example.com,Mumbai,India,2022-09-27
45,Customer_45,customer45@example.com,London,France,2022-10-08
46,Customer_46,customer46@example.com,London,France,2022-03-30
47,Customer_47,customer47@example.com,Mumbai,France,2022-09-03
48,Customer_48,customer48@example.com,Sydney,India,2022-02-03
49,Customer_49,customer49@example.com,Paris,Germany,2022-04-04
50,Customer_50,customer50@example.com,Paris,Germany,2022-10-15
51,Customer_51,customer51@example.com,Sydney,France,2022-11-12
52,Customer_52,customer52@example.com,Paris,Canada,2022-08-11
53,Customer_53,customer53@example.com,Toronto,UK,2022-07-04
54,Customer_54,customer54@example.com,London,India,2022-02-28
55,Customer_55,customer55@example.com,Sydney,UK,2022-01-24
56,Customer_56,customer56@example.com,London,UK,2022-02-12
57,Customer_57,customer57@example.com,Mumbai,Germany,2022-03-24
58,Customer_58,customer58@example.com,New York,Germany,2022-05-05
59,Customer_59,customer59@example.com,Toronto,Canada,2022-05-20
60,Customer_60,customer60@example.com,Berlin,UK,2022-05-07
61,Customer_61,customer61@example.com,Toronto,UK,2022-03-29
62,Customer_62,customer62@example.com,Sydney,France,2022-07-06
63,Customer_63,customer63@example.com,Berlin,Germany,2022-10-29
64,Customer_64,customer64@example.com,New York,UK,2022-04-13
65,Customer_65,customer65@example.com,Sydney,Australia,2022-12-10
66,Customer_66,customer66@example.com,Los Angeles,Canada,2022-11-15
67,Customer_67,customer67@example.com,London,Australia,2022-03-01
68,Customer_68,customer68@example.com,New York,Australia,2022-10-14
69,Customer_69,customer69@example.com,London,India,2022-07-29
70,Customer_70,customer70@example.com,Paris,India,2022-07-26
71,Customer_71,customer71@example.com,Los Angeles,Canada,2022-05-23
72,Customer_72,customer72@example.com,Los Angeles,Australia,2022-07-02
73,Customer_73,customer73@example.com,New York,UK,2022-05-25
74,Customer_74,customer74@example.com,Los Angeles,Germany,2022-07-17
75,Customer_75,customer75@example.com,Berlin,Canada,2022-08-18
76,Customer_76,customer76@example.com,Los Angeles,France,2022-09-04
77,Customer_77,customer77@example.com,London,Australia,2022-07-14
78,Customer_78,customer78@example.com,London,Canada,2022-09-21
79,Customer_79,customer79@example.com,Sydney,USA,2022-02-21
80,Customer_80,customer80@example.com,London,USA,2022-03-19
81,Customer_81,customer81@example.com,Sydney,India,2022-10-26
82,Customer_82,customer82@example.com,London,Germany,2022-04-28
83,Customer_83,customer83@example.com,Berlin,UK,2022-01-09
84,Customer_84,customer84@example.com,Mumbai,Germany,2022-02-26
85,Customer_85,customer85@example.com,Sydney,Germany,2022-03-23
86,Customer_86,customer86@example.com,Toronto,Germany,2022-12-16
87,Customer_87,customer87@example.com,Paris,Germany,2022-07-29
88,Customer_88,customer88@example.com,New York,France,2022-12-07
89,Customer_89,customer89@example.com,London,France,2022-07-29
90,Customer_90,customer90@example.com,Los Angeles,India,2022-06-24
91,Customer_91,customer91@example.com,Mumbai,Canada,2022-04-25
92,Customer_92,customer92@example.com,London,USA,2022-08-10
93,Customer_93,customer93@example.com,Los Angeles,Germany,2022-02-20
94,Customer_94,customer94@example.com,Paris,India,2022-11-24
95,Customer_95,customer95@example.com,Paris,Canada,2022-10-30
96,Customer_96,customer96@example.com,Paris,USA,2022-04-26
97,Customer_97,customer97@example.com,Los Angeles,Australia,2022-12-14
98,Customer_98,customer98@example.com,London,UK,2022-10-29
99,Customer_99,customer99@example.com,Paris,France,2022-09-01
100,Customer_100,customer100@example.com,Berlin,Australia,2022-02-14
101,Customer_101,customer101@example.com,Sydney,USA,2022-06-24
102,Customer_102,customer102@example.com,Los Angeles,Australia,2022-07-04
103,Customer_103,customer103@example.com,Los Angeles,UK,2022-03-26
104,Customer_104,customer104@example.com,London,India,2022-01-30
105,Customer_105,customer105@example.com,Los Angeles,USA,2022-10-11
106,Customer_106,customer106@example.com,Los Angeles,Australia,2022-02-14
107,Customer_107,customer107@example.com,Paris,France,2022-08-05
108,Customer_108,customer108@example.com,London,France,2022-12-08
109,Customer_109,customer109@example.com,Paris,Canada,2022-11-16
110,Customer_110,customer110@example.com,Sydney,Australia,2022-04-12
111,Customer_111,customer111@example.com,Mumbai,Germany,2022-11-07
112,Customer_112,customer112@example.com,Sydney,Australia,2022-01-01
113,Customer_113,customer113@example.com,Mumbai,India,2022-01-07
114,Customer_114,customer114@example.com,Paris,USA,2022-08-08
115,Customer_115,customer115@example.com,Sydney,USA,2022-05-14
116,Customer_116,customer116@example.com,London,India,2022-05-22
117,Customer_117,customer117@example.com,New York,Australia,2022-07-26
118,Customer_118,customer118@example.com,Paris,India,2022-03-12
119,Customer_119,customer119@example.com,Mumbai,UK,2022-03-19
120,Customer_120,customer120@example.com,Berlin,India,2022-06-26
121,Customer_121,customer121@example.com,Mumbai,France,2022-10-03
122,Customer_122,customer122@example.com,Berlin,India,2022-08-15
123,Customer_123,customer123@example.com,Los Angeles,USA,2022-04-19
124,Customer_124,customer124@example.com,Sydney,France,2022-06-07
125,Customer_125,customer125@example.com,Berlin,USA,2022-03-04
126,Customer_126,customer126@example.com,Mumbai,Canada,2022-01-28
127,Customer_127,customer127@example.com,Los Angeles,Germany,2022-10-13
128,Customer_128,customer128@example.com,New York,USA,2022-04-07
129,Customer_129,customer129@example.com,London,France,2022-03-06
130,Customer_130,customer130@example.com,London,Canada,2022-09-10
131,Customer_131,customer131@example.com,London,USA,2022-08-14
132,Customer_132,customer132@example.com,Berlin,UK,2022-08-20
133,Customer_133,customer133@example.com,New York,India,2022-03-25
134,Customer_134,customer134@example.com,Berlin,Germany,2022-03-26
135,Customer_135,customer135@example.com,Sydney,USA,2022-03-22
136,Customer_136,customer136@example.com,Berlin,Canada,2022-03-05
137,Customer_137,customer137@example.com,New York,UK,2022-08-28
138,Customer_138,customer138@example.com,New York,Australia,2022-11-06
139,Customer_139,customer139@example.com,Sydney,Canada,2022-09-22
140,Customer_140,customer140@example.com,New York,India,2022-10-17
141,Customer_141,customer141@example.com,Mumbai,Canada,2022-05-28
142,Customer_142,customer142@example.com,New York,UK,2022-08-27
143,Customer_143,customer143@example.com,London,Canada,2022-05-10
144,Customer_144,customer144@example.com,Mumbai,UK,2022-07-11
145,Customer_145,customer145@example.com,Mumbai,USA,2022-06-25
146,Customer_146,customer146@example.com,Sydney,UK,2022-03-06
147,Customer_147,customer147@example.com,Toronto,UK,2022-05-22
148,Customer_148,customer148@example.com,Toronto,Germany,2022-12-18
149,Customer_149,customer149@example.com,New York,UK,2022-04-01
150,Customer_150,customer150@example.com,Mumbai,UK,2022-02-18
151,Customer_151,customer151@example.com,Toronto,Australia,2022-06-02
152,Customer_152,customer152@example.com,Toronto,USA,2022-10-16
153,Customer_153,customer153@example.com,New York,India,2022-08-01
154,Customer_154,customer154@example.com,Toronto,Germany,2022-09-06
155,Customer_155,customer155@example.com,Berlin,Australia,2022-03-11
156,Customer_156,customer156@example.com,Los Angeles,France,2022-08-14
157,Customer_157,customer157@example.com,Sydney,USA,2022-04-29
158,Customer_158,customer158@example.com,Los Angeles,USA,2022-11-01
159,Customer_159,customer159@example.com,New York,France,2022-08-18
160,Customer_160,customer160@example.com,London,India,2022-03-14
161,Customer_161,customer161@example.com,Sydney,UK,2022-01-24
162,Customer_162,customer162@example.com,New York,Australia,2022-01-16
163,Customer_163,customer163@example.com,Mumbai,Canada,2022-05-16
164,Customer_164,customer164@example.com,London,Germany,2022-04-08
165,Customer_165,customer165@example.com,Los Angeles,Canada,2022-08-24
166,Customer_166,customer166@example.com,New York,France,2022-07-02
167,Customer_167,customer167@example.com,Mumbai,USA,2022-04-08
168,Customer_168,customer168@example.com,Sydney,India,2022-02-24
169,Customer_169,customer169@example.com,Sydney,USA,2022-02-16
170,Customer_170,customer170@example.com,Paris,Germany,2022-11-12
171,Customer_171,customer171@example.com,Mumbai,USA,2022-03-30
172,Customer_172,customer172@example.com,Berlin,USA,2022-08-26
173,Customer_173,customer173@example.com,Toronto,Germany,2022-10-23
174,Customer_174,customer174@example.com,London,Australia,2022-08-13
175,Customer_175,customer175@example.com,Mumbai,Australia,2022-11-10
176,Customer_176,customer176@example.com,Paris,Germany,2022-05-24
177,Customer_177,customer177@example.com,Toronto,India,2022-12-16
178,Customer_178,customer178@example.com,Toronto,France,2022-02-18
179,Customer_179,customer179@example.com,New York,USA,2022-02-07
180,Customer_180,customer180@example.com,Toronto,India,2022-08-29
181,Customer_181,customer181@example.com,Berlin,USA,2022-12-11
